Original,Corrected
"Tötgen zum Baffe oder andern Etimmen zugleid angefa)lagen. Man faleift durd fie ni die folgende Tote binein; bierwider wird gar febr oft gefeblet, indem man auf eine raube 2it in die Saupt-Dote binein plumpt, nachdem nod wohl gar darzu bie mit den fleinen Toten bergefellfchaftete Manieren ungefchidt an und beraus gebract worden find.
2 5 . 8 . Da man bey unferm beutigen Gefchmade, wozu die Staliänifae gute Ging-Urt ein anfehnlices mit bergetragen bat, nicht mit den Fransöfffchen Manieren allein austommen tan; fo babe id die Manieren bon mebr als einer Tation zufammen tragen müffen. S a babe ibnen einige neue beygefügt: Sc glaube auch, bag bey dem Glabiere of wohl als andern Inftrumenten Dei Epiel- 2lit die befte fet, welde auf eine gefchidte 2rt das Propre und Brillante des

 30 Das zwuebte Sauptftüc. Erfte 21btpeilung.
Franzöffchen Geichmats mit dem [53] Gameichelbaften der Melfcen Ging- 2lrt zu bereinigen weiß. Die Deutfchen find bierzu befonders aufgelegt, of lange als fie bon Borur","Tönen zum Basse oder anderen Stimmen zugleich angeschlagen. Man fällt durch sie in die folgende Note hinein; hierwider wird gar sehr oft gefehlt, indem man auf eine raue Zeit in die Haupt-Note hinein plumpt, nachdem noch wohl gar dazu die mit den kleinen Noten vergesellschaftete Manieren ungeschickt an und heraus gebracht worden sind.
§ 2.5.8. Da man bei unserem heutigen Geschmack, wozu die italienische gute Sing-Art ein ansehnliches mit beigetragen hat, nicht mit den französischen Manieren allein auskommen kann; so habe ich die Manieren von mehr als einer Nation zusammen tragen müssen. So habe ich ihnen einige neue beigefügt: Ich glaube auch, dass bei dem Claviere sowie bei anderen Instrumenten die Spiel-Art die beste sei, welche auf eine geschickte Art das Propre und Brillante des

30 Das zweite Hauptstück. Erste Abteilung.
französischen Geschmacks mit dem [53] Schmeichelhaften der Melodien Sing-Art zu bereinigen weiß. Die Deutschen sind hierzu besonders aufgelegt, so lange als sie von vornur"
"theilen befrenet bleiben.
26. g. Inbefen tan es wobt febn, daß einige mit diejer meiner S a i l von Manieren nicht gänglich zufrieden feyn werden, weil fie vielleid)t nur einem Befchmacte gefahmoren baben; i d glaube aber, daf niemand mit Grunde in der Wufd etwas beurtheilen tan, als wer nicht allerlet gebürt bat und das befte
aus jeder 2rt zu finden weiß. Se glaube aud, nad bem 2luspruc eines gewiffen groffen Mannes, baß swar ein Gefahmac meht gutes ale der andere habe, daß dem ohngeadt ni jedem etwas befonders gutes ftecte und feiner nodo nicht fo boltommen fey, baf er nicht noch Jufäße leide. Durc dieje Sufätse und Raffinement find wir of weit getommen, als toir find und werden aud noch immer weiter fommen.
Diejes tan aber unmöglid) gedeben, wenn man nur eine 2 i t bon Gefamace bearbeitet und gleichfam anbetet; Man muß fid gegentheils alles gute zu nude maden, man mages finden mo man will.
27. §. Da alfo die Manieren nebft der 2tt fe zu gebrauchen ein an- fehnlides zum feinen Befama","teilen befremdet bleiben.
26. §. In diesem kann es wohl sein, daß einige mit dieser meiner Art von Manieren nicht gänzlich zufrieden sein werden, weil sie vielleicht nur einem Geschmacke gefrönt haben; ich glaube aber, daß niemand mit Grunde in der Kunst etwas beurteilen kann, als wer nicht alles gehört hat und das beste
aus jeder Art zu finden weiß. Ich glaube auch, nach dem Ausspruch eines gewissen großen Mannes, daß zwar ein Geschmack mehr gutes als der andere habe, daß dem ohngeachtet in jedem etwas besonders gutes stecke und keiner noch nicht so vollkommen sei, daß er nicht noch Zusätze leide. Durch diese Zusätze und Raffinement sind wir so weit gekommen, als wir sind und werden auch noch immer weiter kommen.
Dieses kann aber unmöglich geschehen, wenn man nur eine Art von Geschmack bearbeitet und gleichsam anbetet; Man muß sich gegenteils alles gute zu Nutze machen, man mag es finden wo man will.
27. §. Da also die Manieren nebst der Art sie zu gebrauchen ein ansehnliches zum feinen Befamai"
"de bentragen; of muß man weder ju beränderlid)
fenn, und den 2lugenblic jede neue Manier, es mag lie borbringen wer nut will, obne weitere Sinterfuchung annebmen, noch aud of viel Borurtheil für fid, und feinen Gefamad befigen, aus Eigenfint gar nichts fremdes annelmen zu wollen. Frenlid gehöret allezeit eine fcharfe Prüfung vorber, ebe man fids etwas fremdes zueignet, und es ift möglid), dañ mit der 3eit dura eingefülrte unnatürlice euerungen der gute Gefchmad eben of rar werden fan, als die Diffenfchaft. Indeffen muf man dodh, ob fchon nicht der erfte, bennod aud nicht der legte ni der Prachfolge geriffer neuer Ma- [53] nieren feyn, mu nicht aus det Mode zu tommen. Man tebre fid nidt baran, wenn fie anfangs nicht allezeit fahmeden wollen.Das neue, fo einnehmend es zuweilen ift, fo riber- wärtig pflegt es uns mandmall zu feyn. Diejer lettere Simitand ift oft ein Beweis von der Güte einer Cache, welche fid in der Folge länger erhält, als andre, die mi 2infange allzufehr gefallen. Gemei","Hier ist der korrigierte und modernisierte Text:

---

Insbesondere muss man sich weder zu veränderlich finden, und den Augenblick jede neue Manier, es mag sie vorbringen wer nur will, ohne weitere Untersuchung annehmen, noch auch aus viel Vorurteil für sich und seinen Geschmack besitzen, aus Eigenheit gar nichts Fremdes annehmen zu wollen. Freilich gehört allezeit eine scharfe Prüfung vorher, ehe man sich etwas Fremdes zueignet, und es ist möglich, dass mit der Zeit durch eingeführte unnatürliche Neuerungen der gute Geschmack ebenso rar werden kann, als die Wissenschaft. Indessen muss man doch, ob schon nicht der erste, dennoch auch nicht der letzte in der Reihenfolge neuer Manieren sein, um nicht aus der Mode zu kommen. Man lehrt sich nicht daran, wenn sie anfangs nicht allezeit schmecken wollen. Das Neue, so einnehmend es zuweilen ist, so widerwärtig pflegt es uns manchmal zu sein. Dieser letzte Umstand ist oft ein Beweis von der Güte einer Sache, welche sich in der Folge länger erhält, als andere, die anfangs allzu sehr gefallen.

---"
"niglich werden diefe letterer fo ftrapaziert, baß fie bald zum Edel werden.
28. 8. Da Dei meiften Erempel über die Manieren in der reditent Sand
portommen, of berbiete cih diefe Gaönheiten der lincen gans und gar nicht; ich rathe vielmehr jedem an, alle Manieren mit benden Sänden für fid ju üben, weil fie eine Fertigteit und Leichtigteit, andre Noten berauszubringen, berfcaffen. Dir werden aus der Folge feben, dag gewife Manieren auch öfters bet dem Baffe bortommen. Quffer dem aber ift man berbunden, ale Prachahmungen bis auf bie geringîte Rleinigteiten nachzumaden. Damit alfo Dei lince Soand Diejes mit einer Gefchicilic)teit verricten lönne, of ift nöthig, Daß fie bierinnen geübt werde, indem es widrigenfalls befer feyn würde, bie

 Bon den Borfdlägen. 31
Manieren, welche ihre Unmuth berlieren, fo bald man fie falect vorträgt, megzulaffen.
29. §. [6. 54-55 Dermalrt fid) der Berf. gegen die nidt bon t m itammenbe und ohne fein Diffen unter feinem Namen Deröffentlicte Ertlärung einiger ","niglich werden diese Lettern so strapaziert, daß sie bald zum Ekel werden.
28. 8. Da die meisten Exempel über die Manieren in der rechten Hand
vorkommen, so verbiete ich diese Gewohnheiten der linken Hand ganz und gar nicht; ich rathe vielmehr jedem an, alle Manieren mit beiden Händen für sich zu üben, weil sie eine Fertigkeit und Leichtigkeit, andere Noten herauszubringen, verschaffen. Ihr werdet aus der Folge sehen, daß gewisse Manieren auch öfters bei dem Basse vorkommen. Außer dem aber ist man verbunden, alle Nachahmungen bis auf die geringste Kleinigkeit nachzumachen. Damit also die linke Hand dieses mit einer Geschicklichkeit verrichten könne, so ist nötig, daß sie hierin geübt werde, indem es widrigenfalls besser sein würde, die

Von den Vorschlägen. 31
Manieren, welche ihren Unmut verlieren, sobald man sie schlecht vorträgt, wegzulassen.
29. §. [S. 54-55] Vermerkt sich der Verf. gegen die nicht von ihm stammende und ohne sein Wissen unter seinem Namen veröffentlichte Erklärung einiger"
"Maniercn mi Il. Zeile feiner Gonaten und bie Serausgabe der mi „Lottericen Catalogue aller mufita-
lifchen Bücher vom Jahre 1753, G. 8. genannten „VI. Gonates nouveaux per Cembalo 1751"" alß nicht bon ihm ftammenden ober alten, falfe gefariebenen Gtücen.]
Smente 21btheilung. Bon den Dorfehlägen.
1. §. Die Dorfchläge find eine der nöthigiten Manieren. Gie berbeffern Fo wobl die Melodie als auch die Sarmonie. Im erften Falle erregen fie eine
Gefälligteit, indem fie die Toten gut zufammen bängen; indem fie die Noten, welche wegen ihrer Länge oft berdrießlic fallen tönnten, vertüren, und zugleid aud bas Gehör füllen, und indem fie zuweilen den bothergehenden Son wiederholen; man weiß aber aus der Erfabrung, bag überhaupt in der Wufc Das vernünf tige Wiederholen gefällig macht. Im ander Salle berändern fie die Sarmonie, welche obne diefe Dorfahläge zu fimple würde gewefen fetn. Man lan alle Bindungent und Diffonantien auf diefe Bordläge gurüd führen; was ift aber eine Sarmonie ohne diefe ber","Manieren mit II. Zeile seiner Sonaten und die Herausgabe der im „Lottterischen Catalogue aller musikalischen Bücher vom Jahre 1753, G. 8. genannten „VI. Sonates nouveaux per Cembalo 1751"" als nicht von ihm stammenden oder alten, falsch geschriebenen Stücken.]
Zweite Abteilung. Von den Vorschlägen.
1. §. Die Vorschläge sind eine der nötigsten Manieren. Sie verbessern so wohl die Melodie als auch die Harmonie. Im ersten Falle erregen sie eine
Gefälligkeit, indem sie die Töne gut zusammen hängen; indem sie die Noten, welche wegen ihrer Länge oft verdrießlich fallen könnten, verzieren, und zugleich auch das Gehör füllen, und indem sie zuweilen den vorhergehenden Ton wiederholen; man weiß aber aus der Erfahrung, dass überhaupt in der Musik das vernünftige Wiederholen gefällig macht. Im anderen Falle verändern sie die Harmonie, welche ohne diese Vorschläge zu simpel gewesen sein würde. Man kann alle Bindungen und Dissonantien auf diese Vorschläge zurückführen; was ist aber eine Harmonie ohne diese?"
"ben Gtüde?
i nbenSaderiongete,t ebeterpleout tceSigero nes angedeutet, indem die gröffern [56] ibre Beltung den 2lugen nad) befalten, ob
fie {chon bet der 2lusübung bon derfelben allezeit etwas verlieren.
3.§. Das wenige, was etwa bet der erften 2et Dorfchläge zu bemerden ift, werden wir am Ende anführen, und uns blos jeto mit ben lesteren befannt
machen. Bende 2rtet gehen of wobl bon unten ni dei Söbe, ale bon oben berunter.
4. §. Diefe leinen Tötgen find entweder ni ibter Geltung verfdieden, oder fe werden allezeit furt abgefertiget.
5.§. Dermöge des erften Simftandes bat man feit nicht gar langer 3eit angefangen, biefe Borfaläge nad ihrer wahren Geltung anzudeuteu: anftatt Daß man bor diefem alle Dorfäläge Durc 21dt-Sheile zu bezeidnen pflegte, Sab. III. Sig. 1.

 32 Das zwente Sauptftüd. Swepte 2bteilung. [§ab. III.] Fig. L.
fp
Damabis waren die Borchläge bon of berchiedener Geltung nod nicht einges führet; bey unferm beutigen Gelchmade bingegen fönnen wit um fo biel toeniger ofne ","Hier ist der korrigierte und modernisierte Textauszug:

---

ben Etüde?

In den Saal der Originalität, besser gesagt der Vorstellungen, angedeutet, indem die größeren [56] ihre Bedeutung den Augen nach behalten, ob sie schon bei der Ausübung von derselben allezeit etwas verlieren.
§3. Das Wenige, was etwa bei der ersten Art Vorschläge zu bemerken ist, werden wir am Ende anführen und uns bloß jetzt mit den letzten bekannt machen. Beide Arten gehen oft wohl von unten nach oben, also von oben herunter.
§4. Diese kleinen Noten sind entweder zu ihrer Geltung verschieden, oder sie werden allezeit kurz abgefertigt.
§5. Vermöge des ersten Umstandes hat man seit nicht gar langer Zeit angefangen, diese Vorschläge nach ihrer wahren Geltung anzudeuten: anstatt dass man vor diesem alle Vorschläge durch Achtel zu bezeichnen pflegte, Tab. III. Sig. 1.

32. Das zweite Hauptstück. Zweite Abteilung. [Tab. III.] Fig. 1.

Damals waren die Vorschläge von so verschiedener Geltung noch nicht eingeführt; bei unserem heutigen Geschmack hingegen können wir um so viel weniger ohne...

---"
"die genaue Undeutung Derfelben fortommen, ej weniger ale Regeln über ibre Beltung binlänglich find, weil allerlet Urten beb allerlet o t e n bor tommen tönnen.
6. §. Wir feben zugleic) aus diefer Figur: Daß bie Dorfdläge Die borige Rote zuweilen wiederholen (a),
[Sab. III] Fig. I. (a)
zuweilen aud nicht (b), [Eab. III.] Fig. I.
(b)
(*)
und baf die folgende Tote binauf und berunter geben und [pringen tan.
7.§. Ferner lernen mir aus diefer 2lbildung zugleid ibten Bortrag,
indem ale Borfabläge tärcer, als Die folgende gote fammt ibren 3teratben, angefchlagen, und an diefe gezogen werden, es mag nun der Bogen barbey feben oder nicht. Diefe benden Borfichten find dem Endzwede der Dorfaläge gemäß, als wodurch die goten zufammen gehänget werden folen; man muß fie alfo of lange, bis fie bon der folgenden l o t e abgelöfet werden, aushalten, da- mit fie gut binden. Der Zusdruct, wenn eine fimple leife Tote nad einem Borfcblag folgt, wird der 2lbzug genennt. [57).
8. 8. Da die Seichen der Borich","Hier ist der Text mit korrigierten Schreibfehlern und modernisierter Rechtschreibung, während Grammatik und Ausdruck unverändert geblieben sind:

die genaue Bedeutung derselben fortkommen, je weniger als Regeln über ihre Geltung hinlänglich sind, weil aller letzte Urteile über alle Noten vorkommen können.
6. §. Wir sehen zugleich aus dieser Figur: Dass die Vorschläge die vorige Note zuweilen wiederholen (a),
[Tab. III] Fig. I. (a)
zuweilen auch nicht (b), [Tab. III.] Fig. I.
(b)
(*)
und dass die folgende Note hinauf und herunter gehen und springen kann.
7.§. Ferner lernen wir aus dieser Abbildung zugleich ihren Vortrag,
indem alle Vorschläge stärker, als die folgende Note samt ihren Triaden, angeschlagen, und an diese gezogen werden, es mag nun der Bogen dabei stehen oder nicht. Diese bindenden Vorschläge sind dem Endzweck der Vorschläge gemäß, als wodurch die Noten zusammengehängt werden sollen; man muss sie also so lange, bis sie von der folgenden Note abgelöst werden, aushalten, damit sie gut binden. Der Ausdruck, wenn eine simple leise Note nach einem Vorschlag folgt, wird der Abzug genannt. [57].
8. §. Da die Zeichen der Vorschläge"
"läge nebit den Seiden der Sriller bet)- nabe die einigen allenthalben betandten fno, fo findet man fie gemeiniglid) angedeutet. Da man fid aber dennoch nicht allezeit bierauf berlaffen fan, of muß man berfuchen, ni wie weit es möglic ift, ben Git diefer beränderliden %b o r a l a g e a u b e j t i m m e r .
9.§. Llufferdem was wir mi 6. §. gefeben baben, of tommen die Bor- faläge von beränderlicher Geltung gemeiniglich bor: Bey gleidem Sacte mi Niederfahlagen Fig. Il. (a), und Zuffeben (b);

 E
Bon den Boridlägen.
3
(Eab. III] Fig. II.
Ded ungleidem Eacte aber mi Niederfclage aleine, Fig. III. [§ab. III.] Fig. III.
allezeit bor einer etwas langen Flote. Man findet fte ferner bor den Galuf-
Frillern Fig. IV. (a). Dor den balben Gadenten (b), bor ben Einfanitten (c),
vor den Sermaten (d), und bor der Edluf-Fote nach (e) und ohne vorberge gangenen Sriller (f). Wir feben bet dem Erempel (e), baf nad dem Friller Der Borfablag von unten befer tout, als der von oben, bestegen toürde der Fall ","läge neben den Seiten der Triller bei) - habe die einigen allenthalben bekannten fino, so findet man sie gemeinlich angedeutet. Da man sich aber dennoch nicht allezeit hierauf verlassen kann, so muss man versuchen, in wie weit es möglich ist, den Sitz dieser veränderlichen Vorschläge auszubestimmen.
9.§. Außerdem, was wir im 6. §. gesehen haben, so kommen die Vorschläge von veränderlicher Geltung gemeinlich vor: Bei gleichem Takt mit Niederschlagen Fig. II. (a), und Zuziehen (b);

Von den Vorschlägen.

(Tafel III) Fig. II.
Bei ungleichem Takt aber mit Niederschlag alleine, Fig. III. [Tafel III.] Fig. III.
allezeit vor einer etwas langen Flöte. Man findet sie ferner vor den Galopp-
Trillern Fig. IV. (a), vor den halben Kadenzen (b), vor den Einschnitten (c),
vor den Fermaten (d), und vor der Schlussnote nach (e) und ohne vorangegangenen Triller (f). Wir sehen bei dem Beispiel (e), dass nach dem Triller der Vorschlag von unten besser tut, als der von oben, deswegen würde der Fall..."
"bey (g) nicht gut tlingen. Langfame punctirte Poten bertragen dieje 2itt bon Borfalägen ebenfalls (h). Denn diefe 2let bon Toten aud fayon ge- Ichwänzt wären, fo muß dod die Seit-Waag gemäßiget feyn.
[Sab. III.) Fig. N. a)
e)
anders bor, als wenn fie bie borige Dote wiederholen; die aber bon oben trift man auch aufferdem an.
11. § grad ber geroüfnlichen Regel wegen Dre Beltung Deifer 230%- (2ad), Berfud).]
10. g Diefe veränderlichen Borfaläge bon unten fommen nicht leicht

 34 Das atuente Sauptftüd. Swebte 216theilung.
fchläge finden wit, baß fie die sälfte von einer folgenden Pote, welde gleid)e Sheile hat, Sig. V. (a), und bey ungleicen Sheilen (b)
[Eab. III.] Fig. V.
gmet Drittheile betommen. Lufferdem find folgende Erempel Fig. VI. merdwürdig. [Sab. III.] Sig. VI.
12. g. Die Bey Sig. VI. (Sab. III.] Fig. VII.
befindlichen Grempel tommen auch oft vor. Die Echreib-2et Davon ift nicht Die richtigite, weil (58] bey ben Paufen nicht ftille gehalten wird. Es bätten, ftatt berfelben, Punc","```markdown
bei (g) nicht gut klingen. Langsame punktierte Noten übertragen diese Zeit von Vorschlägen ebenfalls (h). Denn diese Zeit von Noten auch schon gewünscht wären, so muss doch die Seitwärtsbewegung gemäßigt sein.
[Tab. III.) Fig. N. a)
e)
andersherum, als wenn sie die vorige Note wiederholen; die aber von oben trifft man auch außerdem an.
11. § gerade der gewöhnlichen Regel wegen der Bedeutung dieser 230%- (2ad), Versuch).]
10. g Diese veränderlichen Vorschläge von unten kommen nicht leicht

34 Das aktuelle Hauptstück. Zweite 216. Teilung.
Schläge finden wir, dass sie die Hälfte von einer folgenden Note, welche gleiche Teile hat, Sig. V. (a), und bei ungleichen Teilen (b)
[Tab. III.] Fig. V.
nur Drittteile bekommen. Außerdem sind folgende Beispiele Fig. VI. merkwürdig. [Tab. III.] Sig. VI.
12. g. Die Bei Sig. VI. [Tab. III.] Fig. VII.
befindlichen Beispiele kommen auch oft vor. Die Schreibweise davon ist nicht die richtigste, weil (58) bei den Pausen nicht still gehalten wird. Es hätten, statt derselben, Punkte
```"
"te oder längere Moten gefett werden folen.
13. §. Es ift gant natürlid), daß bie unveränderlichen futßen Dorfchläge am bäufigiten b e r Furten Toten bortommen, Fig. VIII. (a). Gie werden ein, gweb, drehmabl oder noch öfter gefawängt und of tutt abgefertigt, baß man laum merat, daß die folgende Note an ilrer Geltung etwas berliehtet. Dem obngeacht tommen fle auc bor langen Poten vor, zuweilen wenn ein Son einige mabl angefehlagen wird (b), auch aufer dem (c). Man findet fie eben- falls bor Den Einfchnitten bet einer gefchwinden Tote (d), b e t Rüdungen (e), Bindungen (f) und bey Galeifungen (g); Die Ttatur biefer Noten bleibt Da- durch unverlett. Das Erempel bet (h) mit Dorfdlägen bon unten thut befer, wenn Die Borchläge als 2lattheite gefbielt merden. Sebrigens müfen ber allen Grempeln über dei Eursen Borfahläge, diefe lettern turt bleiben, wenn auch bie Erempet langiam gefpielt werden.

 [Eab. III.] Fig. VIII.
(b) (c) (d)
Bon den Borfälägen. 35
14. 8. Denn Dei Dorfäläge Sertien-Eprüng","Hier ist der korrigierte und modernisierte Textauszug:

te oder längere Noten gesetzt werden sollen.
13. §. Es ist ganz natürlich, dass die unveränderlichen kurzen Vorschläge am häufigsten bei den kurzen Noten vorkommen, Fig. VIII. (a). Sie werden ein-, zwei-, dreimal oder noch öfter angeschlagen und oft so abgefertigt, dass man kaum merkt, dass die folgende Note an ihrer Geltung etwas verliert. Dem ungeachtet kommen sie auch vor langen Noten vor, zuweilen wenn ein Ton einige Male angeschlagen wird (b), auch außer dem (c). Man findet sie ebenfalls vor den Einschnitten bei einer schnellen Note (d), bei Rückungen (e), Bindungen (f) und bei Skalenpassagen (g); Die Dauer dieser Noten bleibt dadurch unverletzt. Das Beispiel bei (h) mit Vorschlägen von unten tut besser, wenn die Vorschläge als Sechzehntel gespielt werden. Übrigens müssen bei allen Beispielen über die kurzen Vorschläge diese letzteren kurz bleiben, auch wenn das Beispiel langsam gespielt wird.

 [Tab. III.] Fig. VIII.
(b) (c) (d)
Von den Vorschlägen. 35
14. §. Von den Vorschlägen Serien-Sprüng..."
"e ausfülen, of fino efi auc, furg. Bet dem 2lbagio aber ift der Lusdrud (ameidelnder, wenn Dei 20r= faläge bet diefem Egempel Sig. IX. (a) als 2ldittheile bon einer Eriole, und nicht als Gedgehntheile geppielt werden. Bey (b) tan man die deutlide Ein- theilung lernen. Manchmabl muß wegen gewiffer Sirfachen in einem Gefange die Refolution abgebroden werden, allba muß der Dorfa)lag aud gant furt fenn Eab. IV. (c). Die Borfdläge vor den Eriolen werden auc turt abge- fertiget, damit die Fatur der Eriole Deutlid) bleibe (d) und widrigenfalls biefer Zusdruc mit dem bey (e) nid)t verwirtet werde. Denn der Dorfelag die reine Octave vom Baffe bat, fo tan er auch nicht lang feyn, weil die Sarmonie zu leer tlingen würde (f). Bet der bertieinerten Detabe bingegen findet man tin oft lang (g). (59).
[Sab. III.] Fig. IX.
(a) (b)
#

 36 Das zwebte Sauptftüd. 3webte 21btheilung.
15. §. Denn ein Son um eine Gecunde fteigt und alsdann wieder zurüd gebt, es mag nun diefer Rüdgang durd eine Saupt-Note Sab.","e ausfüllen, ob sino es auch, kurz. Bei dem 2llegro aber ist der Ausdruck angenehmer, wenn der Vorschlag bei diesem Beispiel Sig. IX. (a) als Achtel von einer Triole und nicht als Sechzehntel gespielt wird. Bei (b) kann man die deutliche Einteilung lernen. Manchmal muss wegen gewisser Ursachen in einem Gesang die Resolution abgebrochen werden, also muss der Vorschlag auch ganz kurz sein, sieh Tab. IV. (c). Die Vorschläge vor den Triolen werden auch kurz abgefertigt, damit die Natur der Triole deutlich bleibt (d), und widrigenfalls dieser Ausdruck mit dem bei (e) nicht verwechselt werde. Wenn der Vorschlag die reine Oktave vom Bass hat, so kann er auch nicht lang sein, weil die Harmonie zu leer klingen würde (f). Bei der verminderten Oktave hingegen findet man ihn oft lang (g). (59).

[Tab. III.] Fig. IX.
(a) (b)

36 Das zweite Hauptstück. Zweite Abteilung.
15. §. Wenn ein Ton um eine Sekunde steigt und alsdann wieder zurückgeht, es mag nun dieser Rückgang durch eine Haupt-Note sieh Tab."
" IV. Fig. X, oder burd einen neuen Dorfalag, (a)
(Eab. IV.] Fig. .X
gefaehen, foentftebt por der mittelften Note auch leidt ein turber Borfalag. Bey Fig. XI.
[Sab. IV.] Sig. X.I
drdenrt e n
네?
finden roit einen Soaufen Erempel bon allerley Hoten, bey gleiden und un- gleiden Sact-Urten; wir feden ausdem einen Erempel, baß aud ein langer Morialag in Diejem Falle angelt. Da geftofjene Toten überhaupt fimpler bor-

 Don Den Morfdlägen. 37
getragen werden müfen als gefahleifte, und da die Dorfeläge insgefamt an bie folgende Flote gezogen werden: of berfteht es fich von felbften, daß bey biefem Falle ebenfalls gefahleifte Dtoten woraus gefegt werden. Slebrigens wird auc bierber, wei bed alen Manieren eine proportionirte Seit-Paaß erfordert, weil Dei gar zu grofje Gefchwindigteit teine 2lusgierungen berträget. Qus dem mit einem (*) bezeichneten Grempel fehen wit, baß beb biefer Belegendeit, wenn nach einer turisen eine ungleid, längere Tote folgt, Der Borfc)lag bor Diejer letteren nicht gut t","IV. Fig. X, oder durch einen neuen Vorschlag, (a) 
(Tab. IV.) Fig. X 
gesehen, entsteht vor der mittleren Note auch leicht ein kurzer Vorschlag. Bei Fig. XI. 
(Tab. IV.) Fig. XI 
erkennen 
finden wir einen Haufen Beispiele von allerlei Noten, bei gleichen und ungleichen Taktarten; wir sehen außerdem ein Beispiel, dass auch ein langer Vorschlag in diesem Falle angeht. Da gestoßene Noten überhaupt simpler vor-

Don den Vorschlägen. 37 
getragen werden müssen als geschleifte, und da die Vorschläge insgesamt an die folgende Note gezogen werden: so versteht es sich von selbst, dass bei diesem Falle ebenfalls geschleifte Noten vorausgesetzt werden. Übrigens wird auch hierbei, wie bei allen Manieren eine proportionierte Zeitmaße erfordert, weil bei gar zu großer Geschwindigkeit keine Auszierungen verträgt. Aus dem mit einem (*) bezeichneten Beispiel sehen wir, dass bei dieser Gelegenheit, wenn nach einer kurzen eine ungleich längere Note folgt, der Vorschlag vor dieser letzteren nicht gut t"
"hut. W i t merden ni der Folge fehen, Daß aledenn eine andere Maniet, welde befer ausfüllt, angebracht werden tan.
16. §. Llufferdem, was bishero von der Beltung der Borfdläge ange-
fübrt worden tit, tommen zuweilen fälle bor, wo der Dorfallag wegen Des 2ffects länger, als gewöhnlic gebalten witd, und folglich mebt als die Sälfte bon ber folgenden Tote betommt, Fig. XI. (a). Dann und wann muß man aus der Sarmonie Dei Geltung der Borfahläge beftimmen; wenn bet (b) bie Bor/chläge ein gantes Biertheil ausmachen follten, of wirben bie zur letten Baf-Tote anfchlagenden Duinten edelbaft flingen, und bey (c)
[Eab. IV.] Fig. XII.
(a), (b) (c)
mürben offenbare Quinten zum Gebör tommen, wenn der Borjdlag länger, als ba itebt, gehalten würde. Bey dem mit (*) bezeidneten Grempel Sab. III. Fig. .I muß [60] Der Dorfatlag aud nict länger fetn, fonft flingt die Geptime zu bart. 17. §. Man muß alfo ebenfals bet Unbringung der Borfahläge, wie überhaupt bey alen Manieren, der Reinigteit bes Gates teinen ","Gut. Wie wir in der Folge sehen werden, dass allerdings eine andere Manier, welche besser ausfüllt, angebracht werden kann.
16. §. Außerdem, was bisher von der Haltung der Vorschläge angeführt worden ist, kommen zuweilen Fälle vor, wo der Vorschlag wegen des Effekts länger, als gewöhnlich gehalten wird, und folglich mehr als die Hälfte von der folgenden Note bekommt, Fig. XI. (a). Dann und wann muss man aus der Harmonie die Geltung der Vorschläge bestimmen; wenn bei (b) die Vorschläge ein ganzes Viertel ausmachen sollten, so würden die zur letzten Bass-Note anschlagenden Quinten sonderbar klingen, und bei (c)
[Tab. IV.] Fig. XII.
(a), (b) (c)
würden offenbare Quinten zum Gehör kommen, wenn der Vorschlag länger, als da steht, gehalten würde. Bei dem mit (*) bezeichneten Exempel Tab. III. Fig. I muss [60] der Vorschlag auch nicht länger sein, sonst klingt die Septime zu hart. 17. §. Man muss also ebenfalls bei Anbringung der Vorschläge, wie überhaupt bei allen Manieren, der Reinheit des Gastes keinen"
